"","sub","sulci","dice","method","type"
"440",101410,"mcgs",0.876697447,"CNN","prominent sulci"
"441",101915,"mcgs",0.929525564,"CNN","prominent sulci"
"442",102008,"mcgs",0.900967296,"CNN","prominent sulci"
"443",102311,"mcgs",0.88042328,"CNN","prominent sulci"
"444",102513,"mcgs",0.945237,"CNN","prominent sulci"
"445",102816,"mcgs",0.937664618,"CNN","prominent sulci"
"446",103111,"mcgs",0.932322685,"CNN","prominent sulci"
"447",103414,"mcgs",0.921985816,"CNN","prominent sulci"
"448",103515,"mcgs",0.901408451,"CNN","prominent sulci"
"449",103818,"mcgs",0.928317234,"CNN","prominent sulci"
"450",104012,"mcgs",0.925833333,"CNN","prominent sulci"
"451",104416,"mcgs",0.840106343,"CNN","prominent sulci"
